total,state,zone,date,sales
total,State 1,Zone Q,2022-10-25,7793
total,State 3,Zone Q,2021-09-15,3657
total,State 1,Zone R,2023-08-01,4543
total,State 1,Zone Q,2021-04-26,4109
total,State 1,Zone R,2020-09-25,6152
total,State 2,Zone Q,2020-12-05,13702
total,State 1,Zone Q,2020-02-27,6141
total,State 3,Zone P,2020-12-02,7495
total,State 2,Zone Q,2023-06-11,9314
total,State 2,Zone P,2021-11-26,8327
total,State 1,Zone P,2020-08-23,6539
total,State 3,Zone Q,2022-11-25,6488
total,State 1,Zone Q,2021-10-03,7245
total,State 3,Zone P,2021-06-25,3506
total,State 3,Zone Q,2022-12-03,5634
total,State 1,Zone R,2022-03-22,5945
total,State 3,Zone R,2022-12-01,7726
total,State 2,Zone R,2022-05-12,7195
total,State 1,Zone P,2022-08-24,5635
total,State 3,Zone Q,2020-10-10,4855
total,State 3,Zone Q,2020-11-16,5812
total,State 1,Zone R,2020-06-09,4540
total,State 3,Zone P,2022-07-25,3592
total,State 2,Zone P,2022-11-14,9487
total,State 3,Zone Q,2023-02-21,6621
total,State 3,Zone P,2023-10-27,3962
total,State 2,Zone P,2020-05-30,11671
total,State 3,Zone R,2022-03-11,4566
total,State 1,Zone P,2023-05-31,6809
total,State 2,Zone P,2022-11-12,13367
total,State 1,Zone Q,2023-08-08,5281
total,State 3,Zone R,2020-09-04,4390
total,State 3,Zone R,2022-07-26,3905
total,State 2,Zone P,2021-03-18,10030
total,State 2,Zone Q,2020-06-28,6875
total,State 3,Zone R,2022-11-17,8237
total,State 2,Zone P,2021-11-07,15708
total,State 1,Zone R,2023-11-29,6885
total,State 3,Zone Q,2022-07-21,2533
total,State 3,Zone P,2022-05-12,4246
total,State 2,Zone R,2023-11-26,13388
total,State 3,Zone Q,2020-12-30,4759
total,State 2,Zone Q,2022-04-21,7866
total,State 3,Zone P,2022-07-17,3216
total,State 2,Zone P,2021-07-09,7613
total,State 2,Zone R,2022-12-28,12349
total,State 3,Zone R,2022-01-01,8076
total,State 1,Zone Q,2022-11-16,5451
total,State 1,Zone R,2020-02-03,6067
total,State 3,Zone R,2022-05-18,5864
total,State 2,Zone R,2021-05-27,6133
total,State 2,Zone Q,2021-02-12,9753
total,State 3,Zone R,2023-06-06,4633
total,State 2,Zone P,2020-08-18,7486
total,State 1,Zone Q,2021-07-21,5707
total,State 2,Zone Q,2020-08-02,5523
total,State 3,Zone R,2023-07-04,2551
total,State 1,Zone Q,2022-10-23,5328
total,State 3,Zone P,2021-07-04,3061
total,State 1,Zone Q,2022-01-26,5606
total,State 2,Zone Q,2020-08-18,5868
total,State 3,Zone P,2021-01-05,5467
total,State 1,Zone R,2020-12-03,6412
total,State 3,Zone Q,2020-03-10,5279
total,State 2,Zone Q,2021-08-29,8969
total,State 2,Zone R,2022-04-27,10699
total,State 3,Zone Q,2022-12-05,3768
total,State 1,Zone Q,2022-05-03,7224
total,State 1,Zone Q,2021-01-07,9665
total,State 2,Zone Q,2021-10-08,9974
total,State 1,Zone P,2021-10-10,6312
total,State 3,Zone Q,2020-08-19,2737
total,State 2,Zone R,2021-03-05,8414
total,State 2,Zone P,2023-05-30,10397
total,State 1,Zone P,2021-10-23,5044
total,State 2,Zone P,2023-02-18,7717
total,State 1,Zone R,2021-06-25,4677
total,State 3,Zone Q,2023-07-30,5373
total,State 3,Zone Q,2021-05-02,5625
total,State 3,Zone P,2021-11-12,6674
total,State 3,Zone R,2023-12-19,7499
total,State 1,Zone Q,2021-02-07,6042
total,State 2,Zone Q,2023-02-04,9636
total,State 1,Zone P,2020-09-06,8070
total,State 3,Zone Q,2023-01-10,6278
total,State 3,Zone Q,2021-03-11,5685
total,State 1,Zone P,2022-01-21,8931
total,State 1,Zone R,2020-04-08,6861
total,State 1,Zone Q,2023-10-01,5098
total,State 3,Zone P,2020-12-03,6759
total,State 3,Zone P,2022-05-24,5871
total,State 3,Zone Q,2023-06-02,4229
total,State 2,Zone Q,2021-04-21,9141
total,State 3,Zone R,2021-03-07,5701
total,State 2,Zone Q,2023-04-01,8002
total,State 2,Zone Q,2020-12-03,14812
total,State 1,Zone R,2023-09-06,5198
total,State 2,Zone Q,2021-02-02,10464
total,State 1,Zone P,2023-09-26,4461
total,State 3,Zone R,2023-11-05,5539
total,State 1,Zone P,2020-11-22,7457
total,State 3,Zone P,2020-04-30,5623
total,State 2,Zone Q,2020-10-14,6177
total,State 2,Zone Q,2020-11-23,8014
total,State 1,Zone R,2020-03-25,5332
total,State 3,Zone P,2022-05-11,6174
total,State 1,Zone R,2023-01-03,6425
total,State 2,Zone Q,2022-04-07,6636
total,State 3,Zone Q,2022-03-07,3820
total,State 2,Zone Q,2022-04-14,8156
total,State 1,Zone Q,2021-06-11,5497
total,State 3,Zone R,2023-07-19,2661
total,State 2,Zone R,2020-04-22,9048
total,State 3,Zone Q,2022-01-12,7686
total,State 3,Zone R,2020-09-29,6324
total,State 2,Zone P,2020-10-03,8882
total,State 1,Zone R,2021-08-09,4148
total,State 3,Zone Q,2023-11-15,7242
total,State 1,Zone R,2023-11-28,8038
total,State 1,Zone P,2020-10-21,5730
total,State 2,Zone P,2020-08-02,7713
total,State 3,Zone Q,2022-11-20,6900
total,State 3,Zone R,2020-10-10,7249
total,State 3,Zone P,2020-08-28,3684
total,State 2,Zone P,2020-08-11,5044
total,State 3,Zone R,2020-05-15,6004
total,State 1,Zone Q,2020-02-17,5216
total,State 1,Zone R,2022-05-22,8020
total,State 1,Zone Q,2021-12-28,7151
total,State 2,Zone Q,2022-01-07,8198
total,State 1,Zone Q,2022-07-03,4668
total,State 1,Zone Q,2020-12-28,8509
total,State 3,Zone Q,2020-09-09,5181
total,State 1,Zone P,2021-10-22,6353
total,State 1,Zone R,2021-10-10,6785
total,State 3,Zone R,2022-10-15,5356
total,State 1,Zone R,2022-03-06,8255
total,State 2,Zone Q,2020-09-12,12519
total,State 3,Zone P,2021-12-05,5938
total,State 3,Zone R,2021-03-24,3681
total,State 2,Zone R,2020-09-08,8997
total,State 2,Zone P,2020-04-14,11449
total,State 3,Zone R,2022-11-18,6031
total,State 3,Zone R,2021-05-03,4910
total,State 1,Zone Q,2023-02-21,4848
total,State 2,Zone R,2023-03-15,9147
total,State 1,Zone Q,2023-05-29,4638
total,State 1,Zone R,2021-06-03,3617
total,State 3,Zone Q,2020-12-01,7094
total,State 3,Zone Q,2022-07-03,3085
total,State 3,Zone P,2020-04-01,6259
total,State 2,Zone R,2020-08-10,3384
total,State 2,Zone P,2023-02-04,13169
total,State 3,Zone P,2021-10-06,3510
total,State 3,Zone Q,2020-01-23,5698
total,State 2,Zone Q,2020-12-01,13155
total,State 1,Zone P,2020-07-03,5402
total,State 2,Zone P,2020-11-21,17194
total,State 3,Zone Q,2023-11-21,4526
total,State 1,Zone R,2020-04-24,4666
total,State 3,Zone P,2020-10-30,4225
total,State 2,Zone R,2020-11-27,9865
total,State 3,Zone P,2021-04-24,5185
total,State 1,Zone P,2023-01-28,7156
total,State 2,Zone P,2023-07-11,7244
total,State 3,Zone Q,2022-07-27,3067
total,State 3,Zone P,2020-10-22,5360
total,State 3,Zone Q,2023-04-21,4194
total,State 3,Zone R,2022-01-05,5860
total,State 1,Zone P,2022-02-22,5441
total,State 2,Zone Q,2023-12-21,13942
total,State 3,Zone P,2021-11-20,6257
total,State 1,Zone Q,2023-02-08,6330
total,State 1,Zone P,2022-02-20,8562
total,State 2,Zone P,2021-07-01,6682
total,State 3,Zone Q,2022-10-10,4860
total,State 1,Zone P,2021-02-12,7057
total,State 1,Zone R,2023-05-25,7549
total,State 1,Zone P,2020-05-06,6899
total,State 3,Zone R,2020-04-18,6335
total,State 1,Zone Q,2020-07-26,4635
total,State 2,Zone P,2021-12-07,12624
total,State 2,Zone P,2020-05-03,10632
total,State 1,Zone Q,2020-02-28,4271
total,State 1,Zone P,2020-02-17,3969
total,State 1,Zone P,2020-01-07,6825
total,State 3,Zone Q,2021-12-10,6828
total,State 1,Zone R,2023-01-25,9972
total,State 2,Zone Q,2023-01-05,8537
total,State 3,Zone Q,2022-08-26,3325
total,State 3,Zone P,2023-02-23,4674
total,State 1,Zone Q,2020-07-18,5619
total,State 3,Zone Q,2023-04-24,4333
total,State 1,Zone Q,2023-09-25,5155
total,State 3,Zone P,2021-10-25,3331
total,State 1,Zone Q,2023-01-27,9825
total,State 2,Zone R,2020-11-12,10999
total,State 1,Zone P,2021-11-01,6695
total,State 1,Zone R,2021-04-25,8342
total,State 1,Zone R,2021-10-30,8114
total,State 1,Zone P,2021-08-25,4286
total,State 2,Zone P,2020-10-23,7939
total,State 2,Zone P,2022-10-16,12007
total,State 2,Zone P,2023-12-24,15409
total,State 3,Zone P,2022-04-08,5974
total,State 1,Zone P,2021-02-28,9811
total,State 1,Zone Q,2020-09-28,3486
total,State 1,Zone R,2020-05-19,7271
total,State 1,Zone R,2023-08-03,5345
total,State 2,Zone R,2023-08-30,6053
total,State 1,Zone R,2023-08-29,4433
total,State 3,Zone P,2023-12-31,8614
total,State 1,Zone Q,2020-09-27,8157
total,State 2,Zone P,2021-02-18,7639
total,State 2,Zone Q,2021-05-28,6374
total,State 2,Zone Q,2021-12-14,8001
total,State 1,Zone R,2020-06-02,4716
total,State 3,Zone P,2020-09-04,3490
total,State 3,Zone Q,2021-08-19,3334
total,State 2,Zone R,2022-05-16,5371
total,State 2,Zone Q,2023-08-13,5736
total,State 2,Zone Q,2022-03-30,6515
total,State 2,Zone Q,2023-07-14,7469
total,State 1,Zone Q,2020-12-27,11705
total,State 2,Zone P,2020-02-01,8772
total,State 2,Zone P,2022-12-28,9983
total,State 2,Zone Q,2020-01-03,8950
total,State 3,Zone R,2021-08-27,2662
total,State 3,Zone P,2023-08-11,4669
total,State 3,Zone R,2022-01-24,6799
total,State 1,Zone Q,2021-08-07,3631
total,State 1,Zone P,2023-11-04,7357
total,State 2,Zone R,2022-04-13,8587
total,State 2,Zone R,2021-09-17,6629
total,State 3,Zone Q,2023-06-06,3021
total,State 2,Zone Q,2021-08-24,4575
total,State 3,Zone Q,2020-06-13,3229
total,State 1,Zone R,2022-07-21,5073
total,State 3,Zone P,2022-12-26,6214
total,State 2,Zone R,2021-04-23,9126
total,State 2,Zone P,2020-07-29,6988
total,State 2,Zone Q,2020-07-08,6217
total,State 2,Zone P,2023-09-20,10880
total,State 3,Zone Q,2021-09-12,6009
total,State 2,Zone P,2022-03-31,7363
total,State 3,Zone Q,2023-07-07,2694
total,State 1,Zone Q,2021-09-20,3858
total,State 2,Zone Q,2021-08-08,7464
total,State 2,Zone Q,2021-05-24,9108
total,State 2,Zone Q,2020-01-04,17087
total,State 1,Zone R,2023-09-16,5144
total,State 3,Zone R,2020-03-11,5526
total,State 1,Zone R,2021-07-20,3891
total,State 3,Zone R,2023-10-06,5607
total,State 1,Zone P,2022-03-02,6968
total,State 2,Zone P,2021-05-19,8194
total,State 2,Zone Q,2021-05-30,9226
total,State 2,Zone R,2023-02-02,7216
total,State 2,Zone Q,2021-02-20,12696
total,State 3,Zone P,2023-09-29,4742
total,State 1,Zone R,2022-02-24,7176
total,State 1,Zone R,2022-06-19,5709
total,State 1,Zone R,2023-02-27,6149
total,State 3,Zone Q,2020-07-08,3030
total,State 2,Zone Q,2023-05-02,9217
total,State 3,Zone R,2023-02-05,4578
total,State 1,Zone Q,2020-05-25,5834
total,State 1,Zone Q,2023-06-08,3626
total,State 2,Zone Q,2022-04-12,11731
total,State 1,Zone P,2020-08-10,3030
total,State 2,Zone P,2021-02-11,8611
total,State 3,Zone Q,2023-08-09,4565
total,State 3,Zone R,2020-04-04,4592
total,State 2,Zone R,2021-12-05,13184
total,State 2,Zone R,2022-05-25,11430
total,State 2,Zone Q,2022-09-15,6131
total,State 3,Zone R,2023-01-07,9458
total,State 3,Zone R,2022-04-29,4580
total,State 2,Zone Q,2023-09-10,11491
total,State 3,Zone P,2020-08-12,3236
total,State 1,Zone R,2021-06-08,5267
total,State 3,Zone R,2020-09-18,6042
total,State 1,Zone P,2023-06-13,3615
total,State 3,Zone R,2020-07-24,3807
total,State 1,Zone R,2022-03-24,8232
total,State 3,Zone Q,2021-03-12,4404
total,State 2,Zone R,2022-08-25,6048
total,State 2,Zone R,2023-02-19,11368
total,State 3,Zone Q,2022-11-22,5147
total,State 3,Zone Q,2022-12-20,8446
total,State 3,Zone R,2021-01-20,6366
total,State 2,Zone R,2022-10-27,7923
total,State 1,Zone P,2021-10-21,4931
total,State 3,Zone P,2021-09-09,5236
total,State 2,Zone Q,2021-12-04,17023
total,State 3,Zone P,2022-10-25,6225
total,State 2,Zone P,2021-06-06,6679
total,State 1,Zone R,2021-11-13,12510
total,State 3,Zone Q,2021-11-26,6348
total,State 2,Zone R,2022-10-10,8470
total,State 2,Zone P,2023-02-21,6835
total,State 1,Zone P,2022-02-18,8037
total,State 2,Zone Q,2022-11-30,12940
total,State 3,Zone R,2023-04-25,6345
total,State 3,Zone R,2022-12-10,8435
total,State 1,Zone P,2023-11-18,8192
total,State 3,Zone Q,2021-09-21,6567
total,State 3,Zone P,2021-03-09,3522
total,State 3,Zone R,2022-07-19,3507
total,State 2,Zone Q,2022-12-28,8181
total,State 1,Zone Q,2020-06-05,3138
total,State 3,Zone Q,2023-07-11,4313
total,State 1,Zone Q,2020-10-17,6948
total,State 1,Zone R,2020-01-27,5496
total,State 2,Zone R,2021-10-28,8727
total,State 2,Zone R,2020-08-06,4875
total,State 1,Zone R,2022-12-03,8146
total,State 1,Zone P,2022-01-01,11485
total,State 2,Zone R,2020-03-12,5942
total,State 3,Zone Q,2023-06-09,2874
total,State 1,Zone Q,2023-11-10,9395
total,State 2,Zone R,2023-03-19,7321
total,State 3,Zone Q,2022-09-26,3030
total,State 1,Zone P,2021-11-22,5440
total,State 3,Zone P,2020-06-12,2656
total,State 1,Zone Q,2021-12-30,5427
total,State 1,Zone R,2020-11-17,7382
total,State 1,Zone P,2020-11-28,11880
total,State 3,Zone P,2021-03-29,3224
total,State 2,Zone Q,2023-11-01,12099
total,State 3,Zone R,2022-09-17,6251
total,State 3,Zone Q,2020-02-07,5848
total,State 1,Zone R,2020-06-04,5101
total,State 3,Zone R,2021-08-11,2625
total,State 3,Zone P,2020-05-08,3777
total,State 2,Zone R,2021-12-20,8136
total,State 3,Zone Q,2022-09-08,4438
total,State 1,Zone R,2023-08-15,5811
total,State 1,Zone R,2022-12-10,6943
total,State 1,Zone Q,2021-05-16,5288
total,State 1,Zone Q,2023-01-15,10613
total,State 1,Zone R,2023-11-22,7388
total,State 2,Zone Q,2021-06-06,6744
total,State 3,Zone Q,2020-11-23,4709
total,State 1,Zone Q,2020-04-29,7662
total,State 1,Zone Q,2022-10-31,4816
total,State 1,Zone P,2021-04-08,5439
total,State 3,Zone Q,2022-11-09,5812
total,State 1,Zone R,2021-05-20,7914
total,State 2,Zone P,2022-09-01,10213
total,State 3,Zone P,2021-11-30,4633
total,State 1,Zone P,2020-08-24,3645
total,State 3,Zone Q,2022-06-02,3806
total,State 3,Zone R,2023-06-11,5241
total,State 3,Zone R,2020-10-11,4732
total,State 3,Zone Q,2020-11-28,10161
total,State 2,Zone R,2022-05-10,10364
total,State 1,Zone P,2020-08-01,3520
total,State 1,Zone R,2022-11-08,10046
total,State 3,Zone Q,2020-12-28,6819
total,State 3,Zone P,2023-08-31,4451
total,State 3,Zone P,2021-04-04,4392
total,State 2,Zone Q,2023-01-08,12701
total,State 2,Zone Q,2020-12-08,8159
total,State 3,Zone R,2021-05-05,4979
total,State 1,Zone P,2023-05-30,6314
total,State 2,Zone R,2022-03-14,8699
total,State 3,Zone Q,2023-09-09,4198
total,State 2,Zone Q,2020-05-02,13330
total,State 1,Zone P,2021-12-07,6483
total,State 2,Zone Q,2020-10-18,7854
total,State 1,Zone P,2022-03-19,5427
total,State 3,Zone Q,2021-10-23,4846
total,State 1,Zone Q,2022-12-04,10949
total,State 2,Zone R,2021-10-10,8182
total,State 3,Zone P,2020-01-30,7768
total,State 3,Zone P,2020-11-19,6535
total,State 3,Zone Q,2022-01-18,4738
total,State 2,Zone P,2022-09-10,7861
total,State 1,Zone Q,2022-11-30,9778
total,State 2,Zone R,2020-08-08,5714
total,State 2,Zone P,2022-12-13,9611
total,State 3,Zone Q,2020-05-25,4107
total,State 2,Zone Q,2021-01-29,14611
total,State 2,Zone Q,2020-12-10,8307
total,State 1,Zone R,2022-10-04,6993
total,State 2,Zone P,2021-12-03,14440
total,State 2,Zone Q,2021-11-06,13788
total,State 1,Zone P,2022-07-03,3956
total,State 3,Zone Q,2021-06-18,4053
total,State 1,Zone R,2022-05-27,4323
total,State 3,Zone Q,2020-10-31,4273
total,State 2,Zone P,2023-01-17,13424
total,State 3,Zone Q,2022-12-04,6599
total,State 3,Zone Q,2022-11-26,6113
total,State 1,Zone Q,2022-02-28,5348
total,State 1,Zone Q,2020-04-15,6681
total,State 2,Zone P,2023-09-09,8549
total,State 3,Zone R,2022-05-20,5424
total,State 1,Zone P,2023-08-28,4345
total,State 2,Zone P,2021-03-21,10819
total,State 2,Zone R,2023-07-15,6821
total,State 3,Zone R,2023-08-14,3592
total,State 1,Zone P,2023-02-20,5357
total,State 1,Zone P,2022-08-06,5100
total,State 2,Zone R,2021-12-10,12974
total,State 2,Zone P,2021-07-28,5604
total,State 1,Zone Q,2020-10-26,6072
total,State 2,Zone P,2020-12-20,11014
total,State 2,Zone R,2022-03-23,9189
total,State 2,Zone P,2020-06-10,5263
total,State 3,Zone R,2022-10-18,3617
total,State 3,Zone Q,2023-08-17,3103
total,State 3,Zone Q,2023-07-04,3813
total,State 3,Zone P,2023-08-14,3308
total,State 2,Zone Q,2022-09-07,6297
total,State 2,Zone Q,2021-08-26,5479
total,State 3,Zone R,2021-08-12,2558
total,State 3,Zone P,2021-03-28,4275
total,State 1,Zone R,2021-12-04,9190
total,State 2,Zone Q,2023-07-27,5033
total,State 1,Zone Q,2022-10-28,5672
total,State 3,Zone P,2023-08-09,3231
total,State 1,Zone R,2022-11-16,10453
total,State 2,Zone R,2023-01-24,9502
total,State 1,Zone R,2023-09-22,6207
total,State 1,Zone Q,2020-05-02,5218
total,State 3,Zone Q,2021-11-14,9680
total,State 1,Zone P,2021-05-23,9269
total,State 2,Zone Q,2020-09-05,7510
total,State 3,Zone P,2021-12-31,6387
total,State 2,Zone Q,2023-10-25,8736
total,State 2,Zone P,2022-01-20,9059
total,State 1,Zone P,2023-10-08,9777
total,State 1,Zone R,2021-05-12,6611
total,State 1,Zone Q,2020-04-12,9798
total,State 2,Zone P,2021-08-03,7719
total,State 2,Zone P,2023-08-10,4342
total,State 1,Zone P,2023-04-28,7580
total,State 3,Zone R,2022-12-13,7898
total,State 1,Zone R,2022-06-20,4609
total,State 1,Zone R,2022-09-14,5466
total,State 1,Zone R,2020-09-14,4156
total,State 1,Zone P,2022-03-30,4569
total,State 2,Zone P,2022-08-30,4630
total,State 3,Zone P,2021-03-31,5629
total,State 2,Zone R,2021-02-20,14020
total,State 3,Zone Q,2022-06-28,4351
total,State 2,Zone R,2020-07-18,7153
total,State 1,Zone P,2022-01-11,9839
total,State 2,Zone Q,2023-06-25,8202
total,State 3,Zone Q,2023-05-10,5285
total,State 2,Zone R,2020-01-17,12426
total,State 2,Zone P,2020-03-15,10690
total,State 2,Zone P,2020-11-10,13599
total,State 3,Zone R,2020-05-30,7343
total,State 2,Zone P,2020-06-01,4432
total,State 1,Zone R,2023-06-13,4179
total,State 2,Zone Q,2021-05-10,6841
total,State 3,Zone P,2020-11-08,6246
total,State 2,Zone R,2020-11-17,15164
total,State 3,Zone Q,2021-10-03,6305
total,State 1,Zone P,2023-03-06,6048
total,State 3,Zone Q,2020-03-26,3932
total,State 2,Zone Q,2022-04-01,8895
total,State 3,Zone P,2023-03-10,3543
total,State 2,Zone P,2022-12-30,11855
total,State 2,Zone R,2021-04-08,10990
total,State 3,Zone Q,2020-12-19,7677
total,State 1,Zone Q,2023-07-16,3743
total,State 2,Zone R,2022-10-29,13360
total,State 2,Zone Q,2020-02-04,7253
total,State 2,Zone Q,2021-05-27,7789
total,State 2,Zone R,2020-07-10,4761
total,State 2,Zone Q,2023-04-06,7424
total,State 1,Zone R,2022-05-29,9690
total,State 2,Zone P,2020-11-13,11440
total,State 2,Zone Q,2022-02-11,11714
total,State 1,Zone R,2020-06-21,5334
total,State 2,Zone P,2023-04-17,7340
total,State 1,Zone R,2022-11-07,6656
total,State 3,Zone Q,2020-04-13,4900
total,State 3,Zone R,2022-02-16,5397
total,State 1,Zone P,2022-04-23,9208
total,State 2,Zone Q,2022-05-16,7808
total,State 2,Zone R,2020-10-11,8044
total,State 2,Zone P,2020-10-21,6100
total,State 2,Zone P,2022-07-23,6702
total,State 2,Zone R,2020-09-16,8538
total,State 1,Zone P,2021-12-11,7565
total,State 1,Zone R,2021-01-09,10032
total,State 2,Zone P,2020-07-15,5069
total,State 2,Zone P,2023-11-26,15123
total,State 3,Zone R,2022-05-25,4456
total,State 3,Zone R,2021-02-21,5304
total,State 3,Zone P,2022-12-09,6742
total,State 3,Zone Q,2020-10-27,5873
total,State 3,Zone Q,2020-10-01,6196
total,State 3,Zone R,2021-02-26,5013
total,State 1,Zone Q,2023-09-26,7097
total,State 3,Zone R,2022-06-29,3954
total,State 2,Zone Q,2023-11-10,9465
total,State 2,Zone P,2021-05-25,6238
total,State 2,Zone P,2022-01-17,11794
total,State 1,Zone P,2023-10-05,5927
total,State 2,Zone R,2023-02-22,7911
total,State 1,Zone P,2021-11-07,10335
total,State 2,Zone P,2023-01-01,17399
total,State 1,Zone R,2023-10-08,6542
total,State 2,Zone P,2023-03-07,7068
total,State 2,Zone R,2021-09-20,7733
total,State 1,Zone P,2022-12-01,6379
total,State 1,Zone Q,2022-02-16,7044
total,State 3,Zone Q,2022-11-08,4792
total,State 2,Zone P,2021-12-13,8853
total,State 2,Zone R,2021-04-20,6574
total,State 1,Zone R,2022-10-27,4615
total,State 2,Zone R,2020-11-16,9083
total,State 3,Zone P,2020-11-30,4256
total,State 2,Zone Q,2023-07-03,4110
total,State 3,Zone Q,2022-06-13,2873
total,State 1,Zone P,2023-01-15,7680
total,State 1,Zone Q,2021-01-30,10130
total,State 3,Zone Q,2020-07-15,3550
total,State 3,Zone R,2020-10-04,6147
total,State 3,Zone Q,2020-08-04,3220
total,State 2,Zone R,2023-05-05,7123
total,State 3,Zone R,2023-09-13,5378
total,State 2,Zone Q,2021-06-13,6517
total,State 3,Zone P,2023-07-05,3313
total,State 1,Zone Q,2020-11-13,9454
total,State 3,Zone Q,2022-04-17,7678
total,State 1,Zone P,2023-09-19,5487
total,State 3,Zone P,2020-07-25,4548
total,State 2,Zone P,2022-05-14,8683
total,State 2,Zone Q,2021-10-30,8662
total,State 1,Zone Q,2022-06-15,5005
total,State 2,Zone P,2020-01-11,16720
total,State 2,Zone Q,2020-08-04,5531
total,State 2,Zone Q,2020-06-04,8020
total,State 1,Zone Q,2020-07-20,2415
total,State 2,Zone R,2022-02-13,12125
total,State 3,Zone R,2023-06-04,4032
total,State 3,Zone R,2023-02-09,5555
total,State 1,Zone Q,2022-09-25,6752
total,State 3,Zone Q,2022-06-06,3062
total,State 3,Zone R,2022-12-06,6154
total,State 3,Zone R,2022-11-08,4728
total,State 2,Zone Q,2023-05-28,8694
total,State 2,Zone R,2023-05-20,9495
total,State 3,Zone R,2021-09-09,3985
total,State 1,Zone P,2022-08-22,4441
total,State 1,Zone R,2022-07-20,4471
total,State 3,Zone Q,2021-09-20,3030
total,State 1,Zone P,2020-09-21,4886
total,State 1,Zone P,2021-12-30,7057
total,State 1,Zone Q,2022-10-08,6157
total,State 1,Zone P,2022-08-28,6301
total,State 2,Zone Q,2021-02-09,7248
total,State 1,Zone P,2020-08-09,4823
total,State 1,Zone Q,2022-01-29,7987
total,State 1,Zone R,2020-05-18,5624
total,State 1,Zone P,2022-04-29,5906
total,State 1,Zone Q,2021-05-20,4573
total,State 1,Zone R,2021-02-09,4837
total,State 1,Zone P,2020-03-18,4979
total,State 1,Zone R,2021-07-16,4464
total,State 1,Zone Q,2022-11-28,5620
total,State 1,Zone R,2023-09-27,5886
total,State 1,Zone Q,2023-11-25,11459
total,State 1,Zone P,2023-08-06,5490
total,State 3,Zone R,2022-01-11,4948
total,State 3,Zone R,2022-04-16,4885
total,State 1,Zone Q,2021-04-28,5267
total,State 1,Zone Q,2023-09-16,5512
total,State 2,Zone Q,2023-01-02,12115
total,State 1,Zone R,2021-10-27,5612
total,State 2,Zone Q,2021-02-15,4849
total,State 2,Zone R,2023-01-18,14100
total,State 3,Zone R,2023-09-14,4191
total,State 1,Zone R,2022-03-29,7690
total,State 1,Zone P,2020-02-27,4525
total,State 1,Zone P,2021-05-02,5710
total,State 2,Zone Q,2023-06-07,4275
total,State 1,Zone Q,2021-10-17,5156
total,State 1,Zone Q,2022-04-28,4862
total,State 3,Zone Q,2021-06-12,4387
total,State 2,Zone Q,2023-11-12,13944
total,State 2,Zone P,2022-02-22,7467
total,State 2,Zone P,2020-11-08,11510
total,State 3,Zone R,2022-01-30,6097
total,State 1,Zone R,2023-11-30,10052
total,State 2,Zone Q,2020-08-13,7555
total,State 2,Zone Q,2020-10-01,11047
total,State 3,Zone Q,2022-03-02,5435
total,State 2,Zone R,2022-06-21,7475
total,State 1,Zone Q,2021-12-01,10562
total,State 3,Zone P,2021-11-04,5859
total,State 2,Zone R,2022-01-15,9399
total,State 2,Zone P,2021-01-15,14364
total,State 1,Zone Q,2022-08-26,3134
total,State 3,Zone P,2020-08-19,3287
total,State 2,Zone Q,2023-03-07,6559
total,State 1,Zone R,2023-02-18,8807
total,State 1,Zone P,2022-10-05,6254
total,State 2,Zone R,2021-02-08,6401
total,State 3,Zone P,2020-03-05,6566
total,State 2,Zone R,2021-10-04,6430
total,State 2,Zone R,2020-09-26,13950
total,State 1,Zone R,2022-01-14,10133
total,State 3,Zone Q,2022-09-07,4530
total,State 2,Zone R,2020-09-06,8817
total,State 1,Zone P,2021-05-13,4921
total,State 3,Zone Q,2022-03-16,6109
total,State 3,Zone R,2022-04-18,5143
total,State 1,Zone R,2020-06-01,2876
total,State 1,Zone R,2022-11-28,5337
total,State 1,Zone Q,2020-04-02,6817
total,State 3,Zone R,2022-02-24,4643
total,State 3,Zone Q,2020-07-05,5273
total,State 2,Zone R,2021-03-09,8526
total,State 1,Zone Q,2021-09-30,7020
total,State 2,Zone Q,2021-03-01,9013
total,State 1,Zone P,2023-08-19,5619
total,State 1,Zone R,2023-06-26,3551
total,State 3,Zone R,2022-03-10,4646
total,State 3,Zone P,2021-04-28,4287
total,State 2,Zone P,2021-10-24,9750
total,State 1,Zone R,2022-08-17,3299
total,State 1,Zone P,2021-07-05,3180
total,State 2,Zone R,2022-10-09,12642
total,State 2,Zone Q,2022-08-22,5986
total,State 2,Zone R,2021-05-07,10636
total,State 3,Zone P,2022-12-07,8335
total,State 3,Zone R,2023-06-15,2980
total,State 1,Zone Q,2023-01-21,12349
total,State 2,Zone Q,2021-08-19,6441
total,State 1,Zone Q,2020-04-01,5845
total,State 3,Zone Q,2023-04-10,4783
total,State 2,Zone Q,2021-10-20,7534
total,State 3,Zone Q,2023-03-21,6275
total,State 2,Zone R,2023-01-27,15137
total,State 3,Zone P,2023-04-28,5154
total,State 3,Zone P,2023-06-25,3913
total,State 1,Zone R,2023-12-05,8802
total,State 2,Zone R,2020-01-12,16998
total,State 3,Zone R,2020-05-12,3468
total,State 2,Zone P,2022-03-13,8187
total,State 3,Zone P,2020-12-13,7148
total,State 3,Zone R,2020-08-26,4332
total,State 3,Zone Q,2021-08-29,3009
total,State 2,Zone Q,2021-09-18,13010
total,State 1,Zone R,2020-07-25,3905
total,State 2,Zone Q,2022-08-03,7918
