Unnamed: 0,index,total,state,zone,ds,y,holiday
5824,5824,total,State 1,Zone P,2020-05-11,4127,1.0
1444,1444,total,State 3,Zone Q,2020-05-11,3774,1.0
230,230,total,State 2,Zone P,2020-05-11,8860,1.0
7240,7240,total,State 3,Zone R,2020-05-11,5015,1.0
860,860,total,State 1,Zone Q,2020-05-11,5525,1.0
11980,11980,total,State 2,Zone Q,2020-05-11,5031,1.0
2601,2601,total,State 1,Zone R,2020-05-11,3581,1.0
7352,7352,total,State 2,Zone R,2020-05-11,8870,1.0
5018,5018,total,State 1,Zone P,2020-05-12,7990,0.0
4428,4428,total,State 3,Zone R,2020-05-12,3468,0.0
6005,6005,total,State 3,Zone Q,2020-05-12,3567,0.0
365,365,total,State 2,Zone Q,2020-05-12,6783,0.0
3738,3738,total,State 2,Zone P,2020-05-12,8210,0.0
2898,2898,total,State 1,Zone Q,2020-05-12,4769,0.0
2811,2811,total,State 2,Zone R,2020-05-12,10470,0.0
12903,12903,total,State 3,Zone P,2020-05-12,5237,0.0
11902,11902,total,State 1,Zone R,2020-05-12,5372,0.0
2444,2444,total,State 3,Zone R,2020-05-13,5419,0.0
8429,8429,total,State 2,Zone R,2020-05-13,11258,0.0
10065,10065,total,State 2,Zone P,2020-05-13,8114,0.0
8649,8649,total,State 1,Zone R,2020-05-13,7138,0.0
9747,9747,total,State 1,Zone P,2020-05-13,6094,0.0
1608,1608,total,State 2,Zone Q,2020-05-13,6784,0.0
3568,3568,total,State 1,Zone Q,2020-05-13,5284,0.0
3391,3391,total,State 3,Zone Q,2020-05-13,3537,0.0
10955,10955,total,State 3,Zone P,2020-05-13,6065,0.0
9165,9165,total,State 3,Zone P,2020-05-14,4124,0.0
9367,9367,total,State 3,Zone R,2020-05-14,3553,0.0
12275,12275,total,State 1,Zone R,2020-05-14,8131,0.0
9782,9782,total,State 2,Zone R,2020-05-14,6645,0.0
7811,7811,total,State 2,Zone P,2020-05-14,6697,0.0
9393,9393,total,State 1,Zone P,2020-05-14,4471,0.0
11996,11996,total,State 1,Zone Q,2020-05-14,7798,0.0
5863,5863,total,State 2,Zone Q,2020-05-14,7873,0.0
4608,4608,total,State 3,Zone Q,2020-05-14,3414,0.0
3907,3907,total,State 3,Zone R,2020-05-15,6004,0.0
10871,10871,total,State 2,Zone P,2020-05-15,11042,0.0
3335,3335,total,State 3,Zone Q,2020-05-15,3577,0.0
7261,7261,total,State 1,Zone R,2020-05-15,4503,0.0
723,723,total,State 2,Zone Q,2020-05-15,7716,0.0
10408,10408,total,State 1,Zone P,2020-05-15,6044,0.0
1000,1000,total,State 3,Zone P,2020-05-15,4323,0.0
968,968,total,State 1,Zone Q,2020-05-15,5912,0.0
1619,1619,total,State 2,Zone R,2020-05-15,11679,0.0
179,179,total,State 1,Zone P,2020-05-16,8221,0.0
228,228,total,State 3,Zone R,2020-05-16,7374,0.0
1291,1291,total,State 3,Zone P,2020-05-16,7650,0.0
9495,9495,total,State 2,Zone P,2020-05-16,11842,0.0
141,141,total,State 2,Zone Q,2020-05-16,10151,0.0
1769,1769,total,State 1,Zone R,2020-05-16,7693,0.0
4928,4928,total,State 3,Zone Q,2020-05-16,7271,0.0
8501,8501,total,State 2,Zone R,2020-05-16,10663,0.0
569,569,total,State 1,Zone Q,2020-05-16,9535,0.0
10992,10992,total,State 3,Zone P,2020-05-17,5710,0.0
178,178,total,State 1,Zone Q,2020-05-17,6665,0.0
2989,2989,total,State 2,Zone Q,2020-05-17,8677,0.0
11973,11973,total,State 2,Zone R,2020-05-17,8310,0.0
6981,6981,total,State 1,Zone R,2020-05-17,5893,0.0
924,924,total,State 2,Zone P,2020-05-17,8748,0.0
5319,5319,total,State 3,Zone R,2020-05-17,7244,0.0
9940,9940,total,State 3,Zone Q,2020-05-17,4044,0.0
11212,11212,total,State 1,Zone P,2020-05-17,5747,0.0
3215,3215,total,State 3,Zone Q,2020-05-18,3089,1.0
7314,7314,total,State 2,Zone P,2020-05-18,5187,1.0
7484,7484,total,State 1,Zone P,2020-05-18,6555,1.0
4343,4343,total,State 1,Zone R,2020-05-18,5624,1.0
10773,10773,total,State 1,Zone Q,2020-05-18,5214,1.0
9024,9024,total,State 3,Zone P,2020-05-18,3679,1.0
5405,5405,total,State 2,Zone R,2020-05-18,7452,1.0
7656,7656,total,State 3,Zone R,2020-05-18,3212,1.0
7809,7809,total,State 2,Zone Q,2020-05-18,4829,1.0
3989,3989,total,State 1,Zone R,2020-05-19,7271,0.0
11408,11408,total,State 3,Zone R,2020-05-19,5371,0.0
7913,7913,total,State 2,Zone R,2020-05-19,8627,0.0
1030,1030,total,State 1,Zone Q,2020-05-19,5157,0.0
8249,8249,total,State 2,Zone P,2020-05-19,7927,0.0
2786,2786,total,State 1,Zone P,2020-05-19,6304,0.0
2542,2542,total,State 3,Zone P,2020-05-19,4729,0.0
10558,10558,total,State 3,Zone Q,2020-05-19,5624,0.0
9532,9532,total,State 2,Zone Q,2020-05-19,11542,0.0
5356,5356,total,State 3,Zone Q,2020-05-20,5739,0.0
12408,12408,total,State 1,Zone Q,2020-05-20,8075,0.0
1816,1816,total,State 3,Zone R,2020-05-20,4337,0.0
2087,2087,total,State 2,Zone Q,2020-05-20,10983,0.0
5172,5172,total,State 2,Zone R,2020-05-20,11090,0.0
7881,7881,total,State 3,Zone P,2020-05-20,5525,0.0
11534,11534,total,State 1,Zone P,2020-05-20,6999,0.0
6210,6210,total,State 2,Zone P,2020-05-20,9419,0.0
965,965,total,State 1,Zone R,2020-05-20,6010,0.0
12679,12679,total,State 3,Zone R,2020-05-21,6395,0.0
11172,11172,total,State 3,Zone P,2020-05-21,4946,0.0
8810,8810,total,State 1,Zone Q,2020-05-21,6817,0.0
450,450,total,State 2,Zone Q,2020-05-21,8271,0.0
8122,8122,total,State 1,Zone P,2020-05-21,6089,0.0
1537,1537,total,State 2,Zone P,2020-05-21,7263,0.0
80,80,total,State 2,Zone R,2020-05-21,6248,0.0
7962,7962,total,State 3,Zone Q,2020-05-21,3681,0.0
409,409,total,State 1,Zone R,2020-05-21,6224,0.0
5229,5229,total,State 2,Zone P,2020-05-22,10802,0.0
12019,12019,total,State 2,Zone Q,2020-05-22,8048,0.0
2788,2788,total,State 3,Zone Q,2020-05-22,6034,0.0
5145,5145,total,State 1,Zone P,2020-05-22,8106,0.0
3397,3397,total,State 1,Zone R,2020-05-22,7810,0.0
2031,2031,total,State 1,Zone Q,2020-05-22,5808,0.0
5383,5383,total,State 3,Zone R,2020-05-22,5754,0.0
2682,2682,total,State 2,Zone R,2020-05-22,6016,0.0
7892,7892,total,State 3,Zone P,2020-05-22,4084,0.0
12920,12920,total,State 1,Zone P,2020-05-23,9035,0.0
7381,7381,total,State 1,Zone R,2020-05-23,9095,0.0
5445,5445,total,State 3,Zone Q,2020-05-23,6537,0.0
9348,9348,total,State 3,Zone P,2020-05-23,5251,0.0
7963,7963,total,State 2,Zone R,2020-05-23,9046,0.0
2816,2816,total,State 2,Zone Q,2020-05-23,12334,0.0
2986,2986,total,State 1,Zone Q,2020-05-23,7346,0.0
11718,11718,total,State 2,Zone P,2020-05-23,13342,0.0
11324,11324,total,State 3,Zone R,2020-05-23,7340,0.0
3308,3308,total,State 3,Zone R,2020-05-24,5729,0.0
7561,7561,total,State 3,Zone Q,2020-05-24,5841,0.0
2044,2044,total,State 2,Zone Q,2020-05-24,10772,0.0
12169,12169,total,State 1,Zone P,2020-05-24,5371,0.0
8421,8421,total,State 2,Zone P,2020-05-24,11453,0.0
10963,10963,total,State 2,Zone R,2020-05-24,11574,0.0
10161,10161,total,State 3,Zone P,2020-05-24,6962,0.0
8645,8645,total,State 1,Zone Q,2020-05-24,7145,0.0
5521,5521,total,State 1,Zone R,2020-05-24,5385,0.0
1656,1656,total,State 1,Zone P,2020-05-25,4349,1.0
12524,12524,total,State 2,Zone R,2020-05-25,9404,1.0
4048,4048,total,State 1,Zone Q,2020-05-25,5834,1.0
2199,2199,total,State 2,Zone P,2020-05-25,5713,1.0
12149,12149,total,State 3,Zone P,2020-05-25,4792,1.0
10925,10925,total,State 3,Zone R,2020-05-25,2821,1.0
4164,4164,total,State 3,Zone Q,2020-05-25,4107,1.0
10428,10428,total,State 2,Zone Q,2020-05-25,7315,1.0
1941,1941,total,State 1,Zone R,2020-05-25,3545,1.0
8951,8951,total,State 2,Zone R,2020-05-26,9139,0.0
10998,10998,total,State 1,Zone Q,2020-05-26,8110,0.0
10703,10703,total,State 1,Zone R,2020-05-26,6468,0.0
2390,2390,total,State 3,Zone Q,2020-05-26,6265,0.0
284,284,total,State 3,Zone P,2020-05-26,3530,0.0
12583,12583,total,State 1,Zone P,2020-05-26,7944,0.0
8459,8459,total,State 2,Zone Q,2020-05-26,7897,0.0
1871,1871,total,State 3,Zone R,2020-05-26,3517,0.0
2447,2447,total,State 2,Zone P,2020-05-26,7883,0.0
896,896,total,State 3,Zone P,2020-05-27,6314,0.0
9320,9320,total,State 1,Zone P,2020-05-27,5155,0.0
757,757,total,State 2,Zone R,2020-05-27,6631,0.0
11757,11757,total,State 1,Zone R,2020-05-27,4307,0.0
1783,1783,total,State 2,Zone P,2020-05-27,8204,0.0
3120,3120,total,State 2,Zone Q,2020-05-27,7466,0.0
7578,7578,total,State 3,Zone R,2020-05-27,4801,0.0
5055,5055,total,State 3,Zone Q,2020-05-27,5682,0.0
6027,6027,total,State 1,Zone Q,2020-05-27,5342,0.0
10950,10950,total,State 1,Zone Q,2020-05-28,6576,0.0
11271,11271,total,State 3,Zone Q,2020-05-28,6362,0.0
3179,3179,total,State 1,Zone P,2020-05-28,4174,0.0
9997,9997,total,State 2,Zone Q,2020-05-28,8253,0.0
10576,10576,total,State 2,Zone P,2020-05-28,9270,0.0
8363,8363,total,State 3,Zone P,2020-05-28,3584,0.0
9261,9261,total,State 1,Zone R,2020-05-28,4231,0.0
1488,1488,total,State 2,Zone R,2020-05-28,9312,0.0
3351,3351,total,State 3,Zone R,2020-05-28,5154,0.0
5738,5738,total,State 2,Zone R,2020-05-29,7660,0.0
3218,3218,total,State 1,Zone P,2020-05-29,6875,0.0
8033,8033,total,State 2,Zone P,2020-05-29,11350,0.0
1382,1382,total,State 1,Zone R,2020-05-29,8101,0.0
908,908,total,State 3,Zone P,2020-05-29,6073,0.0
3024,3024,total,State 2,Zone Q,2020-05-29,6068,0.0
7181,7181,total,State 3,Zone R,2020-05-29,5611,0.0
8536,8536,total,State 1,Zone Q,2020-05-29,6968,0.0
10884,10884,total,State 3,Zone Q,2020-05-29,4364,0.0
6282,6282,total,State 3,Zone Q,2020-05-30,6612,0.0
4237,4237,total,State 3,Zone R,2020-05-30,7343,0.0
9365,9365,total,State 1,Zone P,2020-05-30,5275,0.0
8861,8861,total,State 1,Zone R,2020-05-30,8489,0.0
2262,2262,total,State 2,Zone Q,2020-05-30,13846,0.0
3808,3808,total,State 2,Zone P,2020-05-30,11671,0.0
1462,1462,total,State 1,Zone Q,2020-05-30,6137,0.0
4881,4881,total,State 2,Zone R,2020-05-30,9405,0.0
8534,8534,total,State 3,Zone P,2020-05-30,7239,0.0
8206,8206,total,State 1,Zone P,2020-05-31,5832,0.0
6529,6529,total,State 2,Zone R,2020-05-31,9485,0.0
11813,11813,total,State 2,Zone Q,2020-05-31,12610,0.0
2060,2060,total,State 3,Zone Q,2020-05-31,4511,0.0
7122,7122,total,State 2,Zone P,2020-05-31,7497,0.0
3595,3595,total,State 1,Zone R,2020-05-31,8921,0.0
9217,9217,total,State 3,Zone P,2020-05-31,5896,0.0
2557,2557,total,State 3,Zone R,2020-05-31,4788,0.0
10779,10779,total,State 1,Zone Q,2020-05-31,6030,0.0
2959,2959,total,State 3,Zone R,2020-06-01,2684,1.0
4397,4397,total,State 1,Zone R,2020-06-01,2876,1.0
12691,12691,total,State 2,Zone R,2020-06-01,3869,1.0
2658,2658,total,State 1,Zone Q,2020-06-01,2993,1.0
6769,6769,total,State 3,Zone P,2020-06-01,2095,1.0
4238,4238,total,State 2,Zone P,2020-06-01,4432,1.0
11594,11594,total,State 1,Zone P,2020-06-01,3091,1.0
443,443,total,State 2,Zone Q,2020-06-01,3845,1.0
7145,7145,total,State 3,Zone Q,2020-06-01,2256,1.0
9468,9468,total,State 2,Zone Q,2020-06-02,6941,0.0
12465,12465,total,State 3,Zone R,2020-06-02,3595,0.0
11589,11589,total,State 2,Zone R,2020-06-02,7416,0.0
161,161,total,State 3,Zone P,2020-06-02,3580,0.0
10861,10861,total,State 3,Zone Q,2020-06-02,3391,0.0
8618,8618,total,State 1,Zone P,2020-06-02,5234,0.0
4991,4991,total,State 2,Zone P,2020-06-02,5089,0.0
3998,3998,total,State 1,Zone R,2020-06-02,4716,0.0
1724,1724,total,State 1,Zone Q,2020-06-02,3019,0.0
10104,10104,total,State 3,Zone R,2020-06-03,3050,0.0
10791,10791,total,State 2,Zone P,2020-06-03,6590,0.0
7910,7910,total,State 2,Zone Q,2020-06-03,4609,0.0
1040,1040,total,State 3,Zone P,2020-06-03,3272,0.0
6361,6361,total,State 1,Zone R,2020-06-03,4440,0.0
9621,9621,total,State 1,Zone Q,2020-06-03,4750,0.0
2626,2626,total,State 1,Zone P,2020-06-03,3387,0.0
6437,6437,total,State 2,Zone R,2020-06-03,4216,0.0
12789,12789,total,State 3,Zone Q,2020-06-03,4525,0.0
2699,2699,total,State 3,Zone Q,2020-06-04,4119,0.0
2680,2680,total,State 2,Zone R,2020-06-04,4830,0.0
9267,9267,total,State 1,Zone P,2020-06-04,4342,0.0
4114,4114,total,State 1,Zone R,2020-06-04,5101,0.0
4572,4572,total,State 3,Zone P,2020-06-04,2418,0.0
4321,4321,total,State 2,Zone Q,2020-06-04,8020,0.0
2094,2094,total,State 1,Zone Q,2020-06-04,4430,0.0
12671,12671,total,State 3,Zone R,2020-06-04,2467,0.0
7896,7896,total,State 2,Zone P,2020-06-04,4372,0.0
6095,6095,total,State 1,Zone P,2020-06-05,3628,0.0
4092,4092,total,State 1,Zone Q,2020-06-05,3138,0.0
11990,11990,total,State 1,Zone R,2020-06-05,4893,0.0
11983,11983,total,State 2,Zone P,2020-06-05,8065,0.0
8973,8973,total,State 2,Zone R,2020-06-05,5346,0.0
9550,9550,total,State 3,Zone Q,2020-06-05,3155,0.0
7076,7076,total,State 2,Zone Q,2020-06-05,4923,0.0
3527,3527,total,State 3,Zone P,2020-06-05,4282,0.0
9079,9079,total,State 3,Zone R,2020-06-05,4629,0.0
6123,6123,total,State 1,Zone Q,2020-06-06,4646,0.0
10503,10503,total,State 3,Zone P,2020-06-06,5206,0.0
7577,7577,total,State 2,Zone Q,2020-06-06,6778,0.0
10454,10454,total,State 3,Zone Q,2020-06-06,3453,0.0
7860,7860,total,State 2,Zone P,2020-06-06,7340,0.0
9201,9201,total,State 3,Zone R,2020-06-06,5281,0.0
9645,9645,total,State 1,Zone P,2020-06-06,4520,0.0
12848,12848,total,State 2,Zone R,2020-06-06,6867,0.0
5113,5113,total,State 1,Zone R,2020-06-06,5115,0.0
2846,2846,total,State 2,Zone P,2020-06-07,9557,0.0
1615,1615,total,State 3,Zone P,2020-06-07,3499,0.0
9912,9912,total,State 1,Zone P,2020-06-07,6632,0.0
13087,13087,total,State 3,Zone R,2020-06-07,4356,0.0
1018,1018,total,State 2,Zone R,2020-06-07,6922,0.0
5097,5097,total,State 1,Zone R,2020-06-07,6096,0.0
9368,9368,total,State 2,Zone Q,2020-06-07,9423,0.0
2454,2454,total,State 1,Zone Q,2020-06-07,4728,0.0
8982,8982,total,State 3,Zone Q,2020-06-07,4388,0.0
5695,5695,total,State 3,Zone P,2020-06-08,3359,1.0
3745,3745,total,State 1,Zone R,2020-06-08,4022,1.0
9995,9995,total,State 3,Zone Q,2020-06-08,2955,1.0
5258,5258,total,State 1,Zone Q,2020-06-08,3172,1.0
8836,8836,total,State 2,Zone R,2020-06-08,5211,1.0
1732,1732,total,State 3,Zone R,2020-06-08,2158,1.0
2772,2772,total,State 2,Zone P,2020-06-08,4749,1.0
9860,9860,total,State 1,Zone P,2020-06-08,3801,1.0
9993,9993,total,State 2,Zone Q,2020-06-08,4045,1.0
5928,5928,total,State 3,Zone R,2020-06-09,3261,0.0
2978,2978,total,State 2,Zone R,2020-06-09,5993,0.0
6921,6921,total,State 3,Zone P,2020-06-09,3484,0.0
10810,10810,total,State 1,Zone Q,2020-06-09,5116,0.0
10154,10154,total,State 1,Zone P,2020-06-09,4594,0.0
6778,6778,total,State 2,Zone Q,2020-06-09,5846,0.0
10816,10816,total,State 3,Zone Q,2020-06-09,4296,0.0
3803,3803,total,State 1,Zone R,2020-06-09,4540,0.0
4728,4728,total,State 2,Zone P,2020-06-09,5619,0.0
5057,5057,total,State 1,Zone P,2020-06-10,5289,0.0
9812,9812,total,State 2,Zone R,2020-06-10,8098,0.0
4192,4192,total,State 2,Zone P,2020-06-10,5263,0.0
5631,5631,total,State 3,Zone R,2020-06-10,2911,0.0
12586,12586,total,State 3,Zone Q,2020-06-10,3080,0.0
384,384,total,State 3,Zone P,2020-06-10,2875,0.0
12193,12193,total,State 1,Zone R,2020-06-10,3340,0.0
5787,5787,total,State 1,Zone Q,2020-06-10,5728,0.0
5447,5447,total,State 2,Zone Q,2020-06-10,5682,0.0
8425,8425,total,State 1,Zone P,2020-06-11,3780,0.0
6046,6046,total,State 3,Zone Q,2020-06-11,3318,0.0
9113,9113,total,State 3,Zone R,2020-06-11,2941,0.0
9877,9877,total,State 2,Zone Q,2020-06-11,7147,0.0
12411,12411,total,State 2,Zone R,2020-06-11,6182,0.0
6772,6772,total,State 1,Zone R,2020-06-11,5363,0.0
1412,1412,total,State 1,Zone Q,2020-06-11,4627,0.0
920,920,total,State 3,Zone P,2020-06-11,2527,0.0
10770,10770,total,State 2,Zone P,2020-06-11,6585,0.0
11761,11761,total,State 3,Zone R,2020-06-12,3403,0.0
10024,10024,total,State 2,Zone P,2020-06-12,5751,0.0
2504,2504,total,State 1,Zone Q,2020-06-12,4452,0.0
5175,5175,total,State 2,Zone R,2020-06-12,4754,0.0
12967,12967,total,State 3,Zone Q,2020-06-12,4429,0.0
9499,9499,total,State 1,Zone R,2020-06-12,3661,0.0
7522,7522,total,State 2,Zone Q,2020-06-12,8037,0.0
4106,4106,total,State 3,Zone P,2020-06-12,2656,0.0
5696,5696,total,State 1,Zone P,2020-06-12,3050,0.0
5482,5482,total,State 3,Zone R,2020-06-13,3862,0.0
4686,4686,total,State 3,Zone P,2020-06-13,3162,0.0
10229,10229,total,State 1,Zone R,2020-06-13,5974,0.0
4018,4018,total,State 3,Zone Q,2020-06-13,3229,0.0
6754,6754,total,State 1,Zone P,2020-06-13,5699,0.0
12692,12692,total,State 2,Zone R,2020-06-13,9077,0.0
11265,11265,total,State 2,Zone Q,2020-06-13,7998,0.0
247,247,total,State 2,Zone P,2020-06-13,6929,0.0
10448,10448,total,State 1,Zone Q,2020-06-13,5005,0.0
12727,12727,total,State 2,Zone R,2020-06-14,8462,0.0
6474,6474,total,State 1,Zone Q,2020-06-14,4627,0.0
12450,12450,total,State 1,Zone P,2020-06-14,3888,0.0
8852,8852,total,State 3,Zone R,2020-06-14,5373,0.0
12759,12759,total,State 3,Zone Q,2020-06-14,4221,0.0
8230,8230,total,State 1,Zone R,2020-06-14,4296,0.0
6983,6983,total,State 2,Zone P,2020-06-14,8601,0.0
6999,6999,total,State 2,Zone Q,2020-06-14,5189,0.0
7469,7469,total,State 3,Zone P,2020-06-14,4882,0.0
12135,12135,total,State 1,Zone R,2020-06-15,3473,1.0
2998,2998,total,State 2,Zone P,2020-06-15,5391,1.0
3585,3585,total,State 1,Zone Q,2020-06-15,3842,1.0
7764,7764,total,State 3,Zone R,2020-06-15,2041,1.0
135,135,total,State 3,Zone Q,2020-06-15,2400,1.0
1751,1751,total,State 3,Zone P,2020-06-15,2602,1.0
13059,13059,total,State 2,Zone R,2020-06-15,6516,1.0
10818,10818,total,State 1,Zone P,2020-06-15,4123,1.0
12984,12984,total,State 2,Zone Q,2020-06-15,5148,1.0
304,304,total,State 2,Zone Q,2020-06-16,7493,0.0
7699,7699,total,State 1,Zone R,2020-06-16,4717,0.0
11613,11613,total,State 2,Zone P,2020-06-16,5475,0.0
8513,8513,total,State 3,Zone P,2020-06-16,4610,0.0
2592,2592,total,State 3,Zone Q,2020-06-16,2997,0.0
2404,2404,total,State 1,Zone P,2020-06-16,5405,0.0
12726,12726,total,State 1,Zone Q,2020-06-16,5774,0.0
6602,6602,total,State 2,Zone R,2020-06-16,8170,0.0
6646,6646,total,State 3,Zone R,2020-06-16,3690,0.0
7327,7327,total,State 2,Zone R,2020-06-17,5114,0.0
9444,9444,total,State 2,Zone Q,2020-06-17,7148,0.0
11857,11857,total,State 1,Zone P,2020-06-17,5740,0.0
9675,9675,total,State 3,Zone Q,2020-06-17,3266,0.0
11772,11772,total,State 2,Zone P,2020-06-17,7489,0.0
6984,6984,total,State 1,Zone R,2020-06-17,3908,0.0
3177,3177,total,State 3,Zone R,2020-06-17,4269,0.0
9224,9224,total,State 3,Zone P,2020-06-17,4033,0.0
8581,8581,total,State 1,Zone Q,2020-06-17,3429,0.0
6039,6039,total,State 2,Zone P,2020-06-18,5050,0.0
10463,10463,total,State 3,Zone R,2020-06-18,3992,0.0
4477,4477,total,State 1,Zone R,2020-06-18,5217,0.0
9214,9214,total,State 1,Zone P,2020-06-18,4898,0.0
9345,9345,total,State 3,Zone P,2020-06-18,3925,0.0
2865,2865,total,State 3,Zone Q,2020-06-18,4278,0.0
12972,12972,total,State 2,Zone Q,2020-06-18,5379,0.0
10361,10361,total,State 2,Zone R,2020-06-18,5480,0.0
2041,2041,total,State 1,Zone Q,2020-06-18,4856,0.0
2938,2938,total,State 3,Zone R,2020-06-19,3617,0.0
7151,7151,total,State 2,Zone R,2020-06-19,6340,0.0
2488,2488,total,State 3,Zone P,2020-06-19,3617,0.0
9512,9512,total,State 2,Zone P,2020-06-19,7826,0.0
6043,6043,total,State 1,Zone R,2020-06-19,5407,0.0
8601,8601,total,State 1,Zone P,2020-06-19,3541,0.0
345,345,total,State 2,Zone Q,2020-06-19,7099,0.0
10193,10193,total,State 1,Zone Q,2020-06-19,4283,0.0
8408,8408,total,State 3,Zone Q,2020-06-19,4251,0.0
10218,10218,total,State 1,Zone Q,2020-06-20,6056,0.0
5710,5710,total,State 1,Zone R,2020-06-20,5513,0.0
63,63,total,State 2,Zone P,2020-06-20,6423,0.0
7621,7621,total,State 1,Zone P,2020-06-20,3643,0.0
2197,2197,total,State 2,Zone Q,2020-06-20,5172,0.0
8354,8354,total,State 3,Zone R,2020-06-20,5250,0.0
7592,7592,total,State 3,Zone Q,2020-06-20,3266,0.0
10569,10569,total,State 3,Zone P,2020-06-20,3557,0.0
3420,3420,total,State 2,Zone R,2020-06-20,8189,0.0
5940,5940,total,State 2,Zone R,2020-06-21,6103,0.0
3269,3269,total,State 3,Zone P,2020-06-21,5254,0.0
4260,4260,total,State 1,Zone R,2020-06-21,5334,0.0
12835,12835,total,State 3,Zone Q,2020-06-21,4857,0.0
2114,2114,total,State 2,Zone P,2020-06-21,8468,0.0
12779,12779,total,State 1,Zone P,2020-06-21,4897,0.0
10844,10844,total,State 3,Zone R,2020-06-21,5397,0.0
9457,9457,total,State 1,Zone Q,2020-06-21,6434,0.0
7285,7285,total,State 2,Zone Q,2020-06-21,9515,0.0
1528,1528,total,State 2,Zone R,2020-06-22,3778,1.0
4778,4778,total,State 1,Zone R,2020-06-22,2461,1.0
6874,6874,total,State 1,Zone P,2020-06-22,3760,1.0
9472,9472,total,State 3,Zone Q,2020-06-22,3085,1.0
386,386,total,State 2,Zone P,2020-06-22,3513,1.0
11215,11215,total,State 3,Zone P,2020-06-22,2668,1.0
2083,2083,total,State 1,Zone Q,2020-06-22,3619,1.0
11074,11074,total,State 3,Zone R,2020-06-22,3562,1.0
8491,8491,total,State 2,Zone Q,2020-06-22,3544,1.0
3198,3198,total,State 1,Zone R,2020-06-23,3676,0.0
11169,11169,total,State 2,Zone Q,2020-06-23,5264,0.0
12685,12685,total,State 1,Zone P,2020-06-23,3205,0.0
3266,3266,total,State 2,Zone R,2020-06-23,4935,0.0
10521,10521,total,State 3,Zone P,2020-06-23,4425,0.0
9331,9331,total,State 1,Zone Q,2020-06-23,3171,0.0
6598,6598,total,State 3,Zone Q,2020-06-23,4630,0.0
8139,8139,total,State 2,Zone P,2020-06-23,8106,0.0
11262,11262,total,State 3,Zone R,2020-06-23,4460,0.0
1021,1021,total,State 3,Zone P,2020-06-24,4587,0.0
12263,12263,total,State 1,Zone Q,2020-06-24,3120,0.0
9297,9297,total,State 3,Zone R,2020-06-24,4483,0.0
9850,9850,total,State 3,Zone Q,2020-06-24,3833,0.0
7757,7757,total,State 1,Zone P,2020-06-24,5503,0.0
11907,11907,total,State 2,Zone Q,2020-06-24,7845,0.0
13124,13124,total,State 2,Zone R,2020-06-24,5170,0.0
11533,11533,total,State 2,Zone P,2020-06-24,4682,0.0
1818,1818,total,State 1,Zone R,2020-06-24,3470,0.0
12564,12564,total,State 3,Zone P,2020-06-25,3815,0.0
7159,7159,total,State 1,Zone P,2020-06-25,3504,0.0
5245,5245,total,State 1,Zone R,2020-06-25,4297,0.0
6652,6652,total,State 2,Zone P,2020-06-25,6537,0.0
9488,9488,total,State 3,Zone R,2020-06-25,3665,0.0
8874,8874,total,State 3,Zone Q,2020-06-25,3006,0.0
4804,4804,total,State 2,Zone Q,2020-06-25,8220,0.0
8749,8749,total,State 2,Zone R,2020-06-25,7912,0.0
891,891,total,State 1,Zone Q,2020-06-25,3266,0.0
11548,11548,total,State 3,Zone P,2020-06-26,2851,0.0
7858,7858,total,State 1,Zone P,2020-06-26,5677,0.0
11143,11143,total,State 3,Zone R,2020-06-26,2752,0.0
3536,3536,total,State 3,Zone Q,2020-06-26,4148,0.0
4713,4713,total,State 1,Zone R,2020-06-26,5585,0.0
12122,12122,total,State 2,Zone R,2020-06-26,7933,0.0
10687,10687,total,State 2,Zone Q,2020-06-26,4275,0.0
5659,5659,total,State 2,Zone P,2020-06-26,6647,0.0
6678,6678,total,State 1,Zone Q,2020-06-26,5463,0.0
12328,12328,total,State 3,Zone R,2020-06-27,3918,0.0
6857,6857,total,State 1,Zone R,2020-06-27,5854,0.0
1801,1801,total,State 3,Zone P,2020-06-27,5119,0.0
2693,2693,total,State 2,Zone P,2020-06-27,6651,0.0
10376,10376,total,State 2,Zone Q,2020-06-27,7350,0.0
1902,1902,total,State 3,Zone Q,2020-06-27,3264,0.0
7390,7390,total,State 1,Zone Q,2020-06-27,6594,0.0
8933,8933,total,State 1,Zone P,2020-06-27,3525,0.0
1189,1189,total,State 2,Zone R,2020-06-27,7418,0.0
11587,11587,total,State 2,Zone P,2020-06-28,8728,0.0
1694,1694,total,State 1,Zone P,2020-06-28,4562,0.0
842,842,total,State 1,Zone Q,2020-06-28,6490,0.0
8545,8545,total,State 3,Zone Q,2020-06-28,5184,0.0
3816,3816,total,State 2,Zone Q,2020-06-28,6875,0.0
1924,1924,total,State 2,Zone R,2020-06-28,9856,0.0
10762,10762,total,State 3,Zone R,2020-06-28,3328,0.0
12725,12725,total,State 1,Zone R,2020-06-28,6441,0.0
3725,3725,total,State 3,Zone P,2020-06-28,3033,0.0
8409,8409,total,State 2,Zone P,2020-06-29,4396,1.0
9889,9889,total,State 3,Zone P,2020-06-29,2188,1.0
11992,11992,total,State 1,Zone R,2020-06-29,2673,1.0
10797,10797,total,State 3,Zone Q,2020-06-29,3073,1.0
6714,6714,total,State 3,Zone R,2020-06-29,2292,1.0
6031,6031,total,State 2,Zone Q,2020-06-29,4950,1.0
12371,12371,total,State 1,Zone Q,2020-06-29,4125,1.0
